operation_id	path	visibility	lane	mutation	output	positionals	flags	aliases	legacy_path	removed_successor
yai.effect.inspect	effect inspect	advanced	inspection	read_only	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--case", "repeatable": false, "required": true, "value_name": "CASE"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--effect", "repeatable": false, "required": true, "value_name": "EFFECT"}]	[]	effect inspect	-
yai.prompt	prompt	advanced	local_interactive	mutating	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--once", "repeatable": false, "required": false, "value_name": "TEXT"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--dry-run", "repeatable": false, "required": false, "value_name": null}, {"aliases": [], "choices": ["auto", "none"], "legacy_name": null, "name": "--language-mode", "repeatable": false, "required": false, "value_name": "VALUE"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--case", "repeatable": false, "required": false, "value_name": "CASE"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--subject", "repeatable": false, "required": false, "value_name": "PARTICIPANT"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--provider-id", "repeatable": false, "required": false, "value_name": "PROVIDER"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--base-url", "repeatable": false, "required": false, "value_name": "URL"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--model", "repeatable": false, "required": false, "value_name": "MODEL"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--api-key-env", "repeatable": false, "required": false, "value_name": "ENV"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--continuation-capable", "repeatable": false, "required": false, "value_name": null}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--provider-runtime-id", "repeatable": false, "required": false, "value_name": "ID"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--continuation-ref", "repeatable": false, "required": false, "value_name": "REF"}]	[]	prompt	-
yai.info	info	compatibility	compatibility	read_only	plain_compat	[]	[]	[]	info	-
yai.store.status	store status	plumbing	inspection	read_only	plain_compat	[]	[]	[]	store status	-
yai.store.summary	store summary	plumbing	inspection	read_only	plain_compat	[]	[]	[]	store summary	-
yai.store.record.get	store record get	plumbing	inspection	read_only	plain_compat	[{"choices": [], "legacy_flag": null, "name": "record", "required": true}]	[]	[]	store record get	-
yai.store.record.list	store record list	plumbing	inspection	read_only	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--case", "repeatable": false, "required": false, "value_name": "CASE"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--kind", "repeatable": false, "required": false, "value_name": "KIND"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--subject", "repeatable": false, "required": false, "value_name": "SUBJECT"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--receipt", "repeatable": false, "required": false, "value_name": "RECEIPT"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--limit", "repeatable": false, "required": false, "value_name": "N"}]	[]	store record list	-
yai.store.tail	store tail	plumbing	compatibility	mutating	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--journal", "repeatable": false, "required": true, "value_name": "FILE"}]	[]	store tail	-
yai.journal.inspect	journal inspect	compatibility	compatibility	read_only	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--path", "repeatable": false, "required": true, "value_name": "FILE"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--show-errors", "repeatable": false, "required": false, "value_name": null}]	[]	journal inspect	-
yai.journal.compatibility_inspect	journal compatibility-inspect	compatibility	compatibility	read_only	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--path", "repeatable": false, "required": true, "value_name": "FILE"}]	[]	journal compatibility-inspect	-
yai.journal.compatibility_import	journal compatibility-import	compatibility	compatibility	mutating	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--path", "repeatable": false, "required": true, "value_name": "FILE"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--target", "repeatable": false, "required": true, "value_name": "DIR"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--dry-run", "repeatable": false, "required": false, "value_name": null}]	[]	journal compatibility-import	-
yai.journal.replay	journal replay	compatibility	compatibility	mutating	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--path", "repeatable": false, "required": true, "value_name": "FILE"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--dry-run", "repeatable": false, "required": false, "value_name": null}]	[]	journal replay	-
yai.journal.replay_status	journal replay-status	compatibility	compatibility	read_only	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--path", "repeatable": false, "required": true, "value_name": "FILE"}]	[]	journal replay-status	-
yai.journal.replay_report	journal replay-report	compatibility	compatibility	read_only	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--path", "repeatable": false, "required": true, "value_name": "FILE"}]	[]	journal replay-report	-
yai.projection.summary	projection summary	plumbing	inspection	read_only	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--journal", "repeatable": false, "required": true, "value_name": "FILE"}]	[]	projection summary	-
yai.projection.inspect	projection inspect	plumbing	inspection	read_only	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--journal", "repeatable": false, "required": true, "value_name": "FILE"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--consumer", "repeatable": false, "required": false, "value_name": "CONSUMER"}]	[]	projection inspect	-
yai.projection.request	projection request	plumbing	inspection	read_only	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--journal", "repeatable": false, "required": true, "value_name": "FILE"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--consumer", "repeatable": false, "required": true, "value_name": "CONSUMER"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--kind", "repeatable": false, "required": true, "value_name": "KIND"}]	[]	projection request	-
yai.context.inspect	context inspect	plumbing	inspection	read_only	plain_compat	[]	[{"aliases": ["--projection", "--frame"], "choices": [], "legacy_name": "--id", "name": "--id", "repeatable": false, "required": true, "value_name": "ID"}]	[]	context inspect	-
yai.control.summary	control summary	plumbing	inspection	read_only	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--journal", "repeatable": false, "required": true, "value_name": "FILE"}]	[]	control summary	-
yai.decision.inspect	decision inspect	plumbing	inspection	read_only	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--journal", "repeatable": false, "required": true, "value_name": "FILE"}]	[]	decision inspect	-
yai.receipt.summary	receipt summary	plumbing	inspection	read_only	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--journal", "repeatable": false, "required": true, "value_name": "FILE"}]	[]	receipt summary	-
